"patent_id"	"latin_name"	"plant_variety"
"PP15841"	"Calibrachoa sp."	"Wescawhite"
"PP17920"	"Diascia hybrida"	"KLEDI04015"
"PP36219"	"Pelargonium x interspecific"	"PEQZ0105"
"PP23746"	"Cotoneaster dammeri"	"Lemon Funky"
"PP19153"	"Laurus nobilis"	"Pride of Provence"
"PP18857"	"Pelargonium ×hortorum"	"Ballurvio"
"PP25937"	"Cortaderia selloana"	"Blue Bayou"
"PP27129"	"Rubus L. subgenus Rubus"	"DrisBlackEleven"
"PP25478"	"Lagerstroemia L."	"PIILAG-IV"
"PP33716"	"Zantedeschia sprengeri"	"Dozandal"
"PP16626"	"Impatiens walleriana"	"Balfiesaled"
"PP30965"	"Petunia X hybrida"	"BBTUN98901"
"PP31645"	"Rosa hybrida"	"Sproulsun"
"PP35798"	"Phalaenopsis hybrida"	"311NR"
"PP31510"	"Cimicifuga japonica"	"Hillside Splashdance"
"PP27217"	"Coreopsis hybrid"	"Radioactive"
"PP33389"	"Lantana camara"	"Baloomink"
"PP16887"	"Pelargonium peltatum"	"Dueamaro"
"PP31666"	"Lobularia maritima"	"Balbeezurp"
"PP18266"	"Hydrangea L. macrophylla"	"JON01"
"PP19656"	"Rubus ideas L."	"DrisRaspOne"
"PP26543"	"Cephalanthus occidentalis"	"SMCOSS"
"PP20425"	"Pelargonium grandiflorum"	"Campeye"
"PP18833"	"Zantedeschia sprengeri"	"Odessa"
"PP27996"	"Pelargonium×hortorum×Pelargonium sp."	"G12120"
"PP24800"	"Echinacea hybrid"	"Greenline"
"PP34918"	"Daphne hybrid"	"Blacir"
"PP28197"	"Rosa hybrida"	"BOZMILLWIN"
"PP18450"	"Hydrangea macrophylla"	"Maltisse"
"PP30259"	"Rosa hybrida"	"Meilowmye"
"PP28699"	"Hydrangea hybrid"	"SMHPCW"
"PP22771"	"Begonia×hiemalis"	"BBREDBADA"
"PP29205"	"Gaillardia×grandiflora"	"Bargaispinor"
"PP19724"	"Chrysanthemum×morifolium"	"Dekorlina"
"PP16318"	"Aster hybrida"	"Yoballad"
"PP27394"	"Bidens triplinervia"	"Hafltufr"
"PP21769"	"Impatiens×hybrida"	"SAKIMP016"
"PP23555"	"Rosa hybrida"	"KORfriedhar"
"PP22675"	"Tiarella spp."	"Appalachian Trail"
"PP19798"	"Chrysanthemum ×morifolium"	"Power White"
"PP27918"	"Coreopsis hybrid"	"Red Elf"
"PP36240"	"Chrysanthemum x morifolium"	"CIFZ0110"
"PP26741"	"Dahlia sp."	"KLEDH13033"
"PP29573"	"Viburnum dilatatum"	"SMNVDMDO"
"PP34105"	"Dahlia hybrida"	"BKDAGIGP"
"PP33286"	"Thuja occidentalis"	"SMNTDGT"
"PP23870"	"Clematis hybrid"	"Zobast"
"PP28613"	"Manfreda×Agave hybrid"	"Pineapple Express"
"PP31445"	"Prunus avium L."	"Prim 21"
"PP20475"	"Chrysanthemum×morifolium"	"Zanmusunset"
"PP29238"	"Humulus lupulus L."	"Furano 0901B go"
"PP27069"	"Chrysanthemum×morifolium"	"Fimmsunpiyelglow"
"PP35585"	"Impatiens hawkeri"	"Dongimeguinor"
"PP25581"	"Perovskia atriplicifolia"	"Lissvery"
"PP20041"	"Silene diocia"	"Firefly"
"PP25281"	"Petunia hybrid"	"PBLLV40-0"
"PP23307"	"Festuca glauca"	"Casca11"
"PP31518"	"Gaillardia aristata"	"Dogailredstar"
"PP17616"	"Calibrachoa sp."	"Sunbelrichipi"
"PP26456"	"Hydrangea macrophylla"	"H213903"
"PP26252"	"Chrysanthemum×morifolium"	"Bkgardyl"
"PP26490"	"Helleborus niger"	"COSEH 3040"
"PP27057"	"Salvia hybrid"	"SER-WISH"
"PP27415"	"Helenium autumnale"	"Ranchera"
"PP35980"	"Abelia x grandiflora"	"SMNAGBT"
"PP35748"	"Weigela florida"	"TMWG18-04"
"PP21614"	"Acca sellowiana"	"Anatoki"
"PP20554"	"Pelargonium×hortorum"	"Fisdelav"
"PP26182"	"Hydrangea macrophylla (Thunb.) Ser."	"Bountiful Bouquets"
"PP29730"	"Fragaria x ananassa"	"DrisStrawFiftyOne"
"PP31427"	"Prunus persica nucipersica"	"Wanectone"
"PP24162"	"Osteospermum ecklonis"	"Sunost1101"
"PP29565"	"Peperomia hybrid"	"San Marino"
"PP26756"	"Petunia×hybrida"	"Dueswejofa"
"PP27919"	"Penstemon hybrida"	"Novapenros"
"PP26500"	"Prunus persica"	"Supechtwenty"
"PP33992"	"Lavandula stoechas ssp. pedunculata"	"QL1"
"PP31108"	"Prunus persica"	"Pearlicious XVIII"
"PP31165"	"Verbena hybrida"	"VEAZ0048"
"PP34882"	"Vitis vinifera L."	"SV35-182-213"
"PP18905"	"Chrysanthemum morifolium"	"Mermaid Yellow Improved"
"PP27578"	"Prunus avium"	"IFG Cher-one"
"PP34835"	"Chrysanthemum X morifolium"	"DLFAVAT3"
"PP24880"	"Prunus laurocerasus"	"Chestnut Hill"
"PP20588"	"Castanea mollissina Blume"	"Au Buck I"
"PP33629"	"Caladium X hortulanum"	"LWH OF13-332"
"PP22023"	"Sanvitalia procumbens"	"Duesansugo"
"PP25422"	"Caladium×hortulanum"	"White Majesty"
"PP18666"	"Prunus sp."	"PLUMSWEET IX"
"PP28445"	"Perovskia atriplicifolia (Benth.)"	"Denim 'n Lace"
"PP31505"	"Rubus idaeus"	"VISION"
"PP34149"	"Chrysanthemum X morifolium"	"DLFFOOT5"
"PP17291"	"Petunia hybrida"	"Petlavve"
"PP31686"	"Prunus avium (L.) L."	"BICOLAM"
"PP26778"	"Impatiens hawkeri"	"Duemaglasp"
"PP34265"	"Fragaria x ananassa"	"UCD Mojo"
"PP21229"	"Pelargonium×hortorum"	"Oglger11154"
"PP29843"	"Argyranthemum frutescens"	"G15104"
"PP23524"	"Brunnera macrophylla"	"Nonurb"
"PP26003"	"Euonymus fortunei"	"DANDEL"
"PP22033"	"Miscanthus spp."	"MBS 7001"
"PP23732"	"Euphorbia pulcherrima"	"Ruby Frost"
"PP19672"	"Mandevilla hybrida"	"Sunparabent"
"PP18886"	"Chrysanthemum×morifolium"	"Yobonnie"
"PP27748"	"Loropetalum chinense"	"KURENAI DAIOU"
"PP33315"	"Phlox hybrid"	"Rose Quartz"
"PP29478"	"Lagerstroemia (L.) hybrid"	"Spiced Plum"
"PP21116"	"Aster novi-belgi"	"DASDEM"
"PP28236"	"Citrus limon (L.)"	"Summer Prim"
"PP31588"	"Murdannia loriformis"	"PPIMUR004"
"PP16613"	"Hydrangea macrophylla"	"RIE 09"
"PP20139"	"Cordyline australis"	"Charlie Boy"
"PP23412"	"Sedum reflexum"	"Nonal"
"PP19893"	"Penstemon"	"Prairie Twilight"
"PP18558"	"Rosa hybrida"	"HARgrace"
"PP21737"	"Prunus persica"	"Burpeachtwentyfour"
"PP21014"	"Impatiens×hybrida"	"SAKIMP008"
"PP16880"	"Euphorbia pulcherrima"	"PER7102"
"PP28650"	"Caladium×hortulanum"	"Berries N' Burgundy"
"PP30160"	"Solenostemon sp."	"SAKCOL021"
"PP29601"	"Sansevieria cylindrica"	"SUPSAN1601"
"PP33121"	"Pelargonium interspecific"	"PEQZ0058"
"PP17680"	"Calibrachoa sp."	"USCALI53M"
"PP28435"	"Prunus persica"	"Smooth Zest Two"
"PP17339"	"Delphinium hybrida"	"Barthirty"
"PP17203"	"Davidia involucrata"	"Purpleleaf"
"PP24546"	"Heuchera hybrid"	"Coco"
"PP17808"	"Zoysia japonica"	"6136"
"PP30262"	"Prunus persica"	"Mia Snow"
"PP23826"	"Begonia×tuberhybrida"	"TMBEG096"
"PP27264"	"Phlox×hybrida"	"Aurora"
"PP35609"	"oleifera x sasanqua"	"FARROWCJFRF"
"PP32794"	"Lavandula angustifolia"	"KERBEEDARK"
"PP25378"	"Aspidistra elatior"	"LEELASPIBL"
"PP21559"	"Fragaria×ananassa"	"DrisStrawThirteen"
"PP29595"	"Phlox paniculata"	"HOG1701"
"PP28621"	"Sedum hybrid"	"Wildfire"
"PP15543"	"Plectranthus hybrida"	"K011101"
"PP30475"	"Hydrangea paniculata"	"HP217903"
"PP34334"	"Chrysanthemum x morifolium"	"CIDZ0112"
"PP30295"	"Gaura lindheimeri"	"Summer Star Baby"
"PP27093"	"Caladium×hortulanum"	"Classic Pink"
"PP22335"	"Chrysanthemum×morifolium"	"Yellow Passadena Jogger"
"PP21952"	"Osteospermum ecklonis"	"SUNBRE0901"
"PP20371"	"Agastache sp."	"Raspberry Summer"
"PP33275"	"Phlox paniculata"	"Dophloxearpupineye"
"PP27803"	"Aster novi-belgii"	"MYPOT0001"
"PP16104"	"Phlox paniculata"	"Junior Dream"
"PP20903"	"Petunia×hybrida"	"USTUNI60-01M"
"PP28259"	"Anthurium andreanum L."	"ANTHDOTFAN"
"PP27014"	"Delosperma cooperi"	"DSAA13-1"
"PP21843"	"Dianthus×hybrida"	"WP09 WEN04"
"PP23560"	"Lagerstroemia hybrid"	"GAMAD IX"
"PP30453"	"Hydrangea macrophylla"	"JON04"
"PP22227"	"Aloe hybrid"	"Pickled Pink"
"PP17328"	"Impatiens walleriana×Impatiens pseudoviola"	"Butly Depink"
"PP20379"	"Ligustrum sinense"	"Sunshine"
"PP20234"	"Rubus Fruticosus"	"Nettleton Creamy White"
"PP19821"	"Browallia hybrida"	"UNHBR15"
"PP19423"	"Impatiens hawkeri"	"Tamar Dark Red"
"PP18948"	"Rhododendron hybrida"	"Tiara"
"PP33478"	"Magnolia laevifolia"	"GCCHU2008"
"PP27127"	"Rosa hybrida"	"Protano"
"PP33729"	"Petunia X hybrida"	"Dopetsuspabu"
"PP35084"	"Dianthus hybrid"	"Red Rouge"
"PP21867"	"Veronica hybrida"	"Atomic Lilac"
"PP16087"	"Calibrachoa sp."	"KLEC03085"
"PP31223"	"Heuchera hybrid"	"Lemon Love"
"PP25171"	"Rubus idaeus L."	"Lupita"
"PP35548"	"Cynodon transvaalensis x Cynodon dactylon var. dactylon"	"OKC1876"
"PP34297"	"Weigela florida"	"SMNWFBGV"
"PP16365"	"Primula acaulis"	"Kerbelnec"
"PP25551"	"Petunia×hybrida"	"Dueimqbee"
"PP20523"	"Catharanthus roseus"	"Sunnichipink"
"PP17846"	"Chrysanthemum×morifolium"	"Flashy Yogretchen"
"PP31739"	"Rosa hybrid"	"ROP007"
"PP29389"	"Phalaenopsis hybrid"	"PHALFTEQ"
"PP31981"	"Phlox paniculata"	"Dophloxearpica"
"PP34269"	"Hosta hybrid (Tratt.)"	"Wild Imagination"
"PP27819"	"Pelargonium zonale"	"Duebezreimp"
"PP32724"	"Syringa x prestoniae"	"Jeftini"
"PP15872"	"Lobelia erinus"	"Wesloba"
"PP34604"	"Peperomia obtusifolia"	"EC-PEPE-2104"
"PP29759"	"Calibrachoa sp."	"KLECA16320"
"PP31252"	"Caladium X hortulanum"	"BLZ 158-14"
"PP16171"	"Pelargonium×hortorum"	"Pacwu"
"PP31332"	"Spathiphyllum Schott."	"Spaamerigro"
"PP18683"	"Chrysanthemum×morifolium"	"Yoclaire"
"PP29382"	"Iberis sempervirens"	"IBSZ0002"
"PP33552"	"Chrysanthemum x morifolium"	"CIFZ0078"
"PP16287"	"Chrysanthemum×morifolium"	"Jeanny Orange"
"PP17876"	"Euphorbia pulcherrima Willd."	"Duepremmiro"
"PP26548"	"Syringa hybrida"	"SMSXPM"
"PP34891"	"Anemone hupehensis"	"IFANFA"
"PP25839"	"Verbena×hybrida"	"Balendish"
"PP33465"	"Impatiens hawkeri"	"Kitorito"
"PP15460"	"Impatiens hawkeri"	"Fisnics Sweet Red"
"PP26347"	"Vitis vinifera"	"ARRATWENTYEIGHT"
"PP30531"	"Bidens triplinervia"	"15S27"
"PP34480"	"Curio ficoides"	"Blues"
"PP17157"	"Dianthus caryophyllus"	"CFPC Lipstick"
"PP34765"	"Delphinium elatum X (Delphinium x belladonna)"	"ET DLP 838"
"PP20882"	"Eryngium planum"	"EPTJ"
"PP31228"	"Sedum hybrid"	"Popstar"
"PP33050"	"Spathiphyllum sp. Schott."	"Sweet Isabella"
"PP18271"	"Nemesia caerulea×Nemesia strumosa"	"Kirine-4"
"PP30863"	"Malus domestica (Borkh.)"	"Fengapi"
"PP27097"	"Caladium×hortulanum"	"Carousel"
"PP27651"	"Festuca hybrid"	"Cool as Ice"
"PP28480"	"Verbena sp."	"KLEVP15488"
"PP22735"	"Pelargonium×hortorum"	"Fipelmasred"
"PP16408"	"Rosa hybrida"	"BAIprez"
"PP36336"	"Leucophyllum frutescens X zygophyllum"	"Laredo"
"PP24158"	"Euphorbia×hybrid"	"PERHC59B"
"PP33803"	"Nyssa sylvatica"	"BBN-01"
"PP35592"	"Lobelia erinus"	"WNLOBLSB23"
"PP32550"	"Hydrangea macrophylla"	"Hokomachoko"
"PP34426"	"Interspecific Prunus species"	"‘Flavor May’"
"PP25345"	"Coreopsis verticillata hybrid"	"Bengal Tiger"
"PP30382"	"Rosa hybrid"	"Poulpar094"
"PP26195"	"Fragaria ananassa"	"PE-3.219"
"PP32119"	"Cynara cardunculus L. var. scolymus"	"PAGA 13-1"
"PP28698"	"Hydrangea hybrid"	"SMHMEPSILON"
"PP29547"	"Calibrachoa x hybrida"	"Balcanumbi"
"PP26763"	"Ribes sanguineum"	"Oregon Snowflake"
"PP34901"	"Rosa hybrida"	"Royal Sunrise"
"PP31834"	"Lagerstroemia indica"	"GARzarnobemagen"
"PP22484"	"Verbena×hybrida"	"Plufrena"
"PP19686"	"Anthurium hybrida"	"TWYANBD9"
"PP23586"	"Solenostemon scutellarioides"	"UF08174"
"PP16881"	"Euphorbia pulcherrima"	"PER1056"
"PP18118"	"Sutera cordata"	"DANGUL16"
"PP27513"	"Caladium hybrid"	"Poison Dart Frog"
"PP21288"	"Weigela florida"	"Verweig 4"
"PP30359"	"Hydrangea macrophylla"	"Bailmacfive"
"PP29376"	"Hydrangea macrophylla (Thunb.)"	"BCHY-10.P14"
"PP28958"	"Viburnum plicatum f. plicatum"	"PIIVIB-II"
"PP18906"	"Calibrachoa sp."	"Kakegawa S85"
"PP18853"	"Impatiens walleriana"	"Balfiesalmo"
"PP20850"	"Petunia×hybrida"	"Duesurwice"
"PP21112"	"Pelargonium zonale"	"Dueimgab"
"PP25399"	"Hosta hybrid (Tratt.)"	"Sparkler"
"PP27775"	"Prunus persica (L.) Batsch"	"NECTAJOY"
"PP17697"	"Verbena×hybrida"	"Carwi"
"PP22625"	"Begonia×tuberhybrida"	"BBERO13-0"
"PP15995"	"Prunus tomentosa×Prunus cerasifera"	"VVA-1"
"PP31331"	"Petunia hybrida"	"PEHY0038"
"PP28438"	"Mangifera indica"	"302216THOM"
"PP32297"	"Rosa hybrid"	"Poulpar114"
"PP26744"	"Salvia nemerosa"	"Florsalvioblu"
"PP31880"	"Vanda spp. Jones ex R. Br."	"SPCDW1801"
"PP25957"	"Phalaenopsis hybrida"	"Mamamia"
"PP32842"	"Lentinula edodes (Berk.) Pegler"	"HOKSY 10gokin"
"PP23342"	"Acanthus spp."	"Whitewater"
"PP26020"	"Agonis flexuosa"	"After Shock"
"PP28717"	"Salvia hybrida"	"Novasalpur"
"PP30242"	"Aruncus"	"Fairy Hair"
"PP20437"	"Malus×domestica"	"Co-op 31"
"PP29338"	"Paeonia lactiflora×P. lutea"	"RTPIV791-09"
"PP22106"	"Hibiscus rosa-sinensis"	"DUP-CDS"
"PP34107"	"Pelargonium interspecific"	"PEQZ0084"
"PP23324"	"Rosa hybrida"	"WEKcofbunk"
"PP33256"	"Hydrangea paniculata"	"LC NO12"
"PP32831"	"Euonymus japonicus"	"HEESGO1801"
"PP30100"	"Begonia spp."	"TNBEGSS"
"PP21222"	"Vaccinium sp."	"TH-682"
"PP23447"	"Begonia hybrid"	"BROTHGLOW"
"PP15727"	"Chrysanthemum morifolium"	"Redock Salmon"
"PP20507"	"Torenia sp."	"DANLOV191"
"PP18828"	"Dianthus×hybrida"	"WP05 Yves"
"PP18427"	"Impatiens hawkeri"	"KLENI05085"
"PP23008"	"Chrysanthemum×morifolium"	"CIDZ0002"
"PP26651"	"Vitis vinifera L."	"Stargrape 1"
"PP31576"	"Rosa hybrid"	"Poulpar096"
"PP20260"	"Hypericum androsaemum"	"Esm Kalua"
"PP17788"	"Dahlia variabilis"	"Dapasulo"
"PP25625"	"Heuchera"	"Vulcano"
"PP21377"	"Vaccinium corymbosum L."	"FL03-291"
"PP22451"	"Vitis vinifera"	"Prophecy"
"PP20970"	"Fragaria ananassa"	"Rotemi"
"PP20153"	"Euphorbia pulcherrima Willd"	"Duemarcpol"
"PP19468"	"Hypericum androsaemum"	"Seifire"
"PP17119"	"Impatiens walleriana"	"Imtralave"
"PP23949"	"Petunia×hybrida"	"Duegpros"
"PP24955"	"Verbena×hybrida"	"KLEVP12449"
"PP15824"	"Rosa hybrida"	"Intrepid Red"
"PP18201"	"Euphorbia pulcherrima"	"PER2904"
"PP35577"	"Malus domestica Borkh."	"Wuranda"
"PP16474"	"Mentha piperita"	"Cim Indus"
"PP22638"	"Chrysanthemum×morifolium Ramat."	"Zanmupearly"
"PP33132"	"Monarda hybrid"	"Leading Lady Orchid"
"PP28099"	"Lagerstroemia cultivar"	"SMLIPURPLE101"
"PP26241"	"Hypericum×inodorum"	"Ruihyh006b"
"PP21983"	"Gardenia jasminoides"	"Leeone"
"PP25036"	"Sansevieria trifasciata"	"Tyler"
"PP21440"	"Euphorbia×hybrida"	"Balbreblus"
"PP30601"	"Armeria pseudarmeria"	"Dreamland"
"PP19025"	"Rosa hybrida"	"KORbalrom"
"PP16427"	"Chrysanthemum morifolium"	"Sizzleness Cream"
"PP19547"	"Hibiscus syriacus"	"Antong Two"
"PP19899"	"Rhododendron hybrid"	"Robleo"
"PP33986"	"Angelonia angustifolia"	"Baladaniob"
"PP35027"	"Malus domestica Borkh."	"SPINK754"
"PP28887"	"Illicium parviflorum"	"PIIIP-I"
"PP28932"	"Morus alba"	"Trader"
"PP25489"	"Calibrachoa sp."	"Duealkocher"
"PP23989"	"Hosta hybrid"	"Hands Up"
"PP31400"	"Rosa hybrida"	"AUSearnshaw"
"PP18576"	"Osteospermum ecklonis"	"KLEOE05116"
"PP23449"	"Osteospermum ecklonis"	"Fidostnanoyel"
"PP18302"	"Osteospermum ecklonis"	"GG DEL PWN06"
"PP17255"	"Impatiens walleriana×Impatiens pseudoviola"	"Butly Lilla"
"PP19061"	"Rosa hybrid"	"Poulpah038"
"PP24531"	"Vitis vinifera"	"SV 21-66-226"
"PP19822"	"Browallia speciosa"	"UNHBR18"
"PP17415"	"Petunia×hybrida"	"Wespecamaria"
"PP20893"	"Actinidia chinensis"	"Hort22D"
"PP24010"	"Dracaena reflexa"	"IDEA1010"
"PP21965"	"Vitis rotundifolia Michx."	"Majesty"
"PP18570"	"Spathiphyllum Schott."	"98216-59"
"PP32434"	"Fragaria x ananassa"	"JFK44"
"PP17882"	"Peperomia obtisufolia"	"Dapep2106"
"PP18062"	"Impatiens walleriana"	"Imdobicor"
"PP28244"	"Rosa hybrida"	"KORcaseipp"
"PP20021"	"Weigela florida"	"Beth"
"PP32875"	"Rosa hybrida"	"Radapshin"
"PP17006"	"Pelargonium×hortorum"	"Dueceline"
"PP17548"	"Prunus persica var. nucipersica"	"Nectarperle"
"PP28532"	"Dianthus L."	"Hilodeamy"
"PP23301"	"Kalanchoe blossfeldiana"	"Don Nando"
"PP26702"	"Zantedeschia sprengeri"	"CAPTAIN SOLO"
"PP23804"	"Hibiscus rosa-sinensis"	"Bonaire Wind"
"PP24087"	"Heuchera hybrid"	"Creole Nights"
"PP30491"	"Fragaria x ananassa"	"Redstart"
"PP24110"	"Begonia rex cultorum"	"BRXBR15-0"
"PP34450"	"Petunia hybrida"	"‘PEHY0059’"
"PP22447"	"Lavandula stoechas"	"Sweetberry Ruffles"
"PP16455"	"Osteospermum ecklonis"	"Oste Pinkbic"
"PP25418"	"Petunia-calibrachoa"	"SAKPXC008"
"PP19487"	"Calibrachoa sp."	"KLECA06121"
"PP19730"	"Hydrangea hybrida"	"Agrihydraeen"
"PP16032"	"Impatiens hawkeri"	"Fisupnic Burgy"
"PP30235"	"Rhododendron hybrida"	"HOLDEN52"
"PP20416"	"Hibiscus rosa-sinensis"	"Pink Kai"
"PP26618"	"Perovskia atriplicifolia"	"Novaperlac"
"PP18735"	"Lobelia richardsoni×Lobelia Erinus"	"Kirilo-LV63"
"PP19128"	"Rosa hybrida"	"JACoutra"
"PP22207"	"Malus domestica"	"New York 2"
"PP19211"	"Verbena hybrida"	"Duempimpur"
"PP19808"	"Euphorbia characias wulfenii"	"Shorty"
"PP33393"	"Phalaenopsis hybrid"	"PHALWALWHO"
"PP17280"	"Argyranthemum frutescens"	"Argydupea"
"PP33982"	"Impatiens hawkeri"	"Dongimagmior"
"PP28364"	"Verbena sp."	"KLEVP15618"
"PP21005"	"Actinidia deliciosa A. Chev."	"AU Fitzgerald"
"PP35019"	"Ilex glabra"	"SMNIGLA"
"PP27122"	"Hypericum hybrida"	"Alllangano"
"PP31115"	"Rhododendron hybrida"	"RLH2-2PA1S"
"PP25206"	"Rudbeckia hirta X Echinacea purpurea"	"ET-RDB 03"
"PP29404"	"Thuja standishii×Thuja plicata"	"Attapulgus"
"PP36284"	"Gardenia jasminoides"	"Baildeniaone"
"PP23327"	"Malus domestica×Malus robusta hybrid"	"G.890"
"PP25996"	"Prunus avium"	"PA1UNIBO"
"PP15788"	"Rubus sp."	"Blackberry—APF-8"
"PP18366"	"Phygelius aequalis"	"CROSNOQUE"
"PP29232"	"Coreopsis hybrida"	"Proory"
"PP29991"	"Weigela florida"	"MONRIGNEY"
"PP25847"	"Rosa×hybrida"	"ZARsunfrapk"
"PP19292"	"Dahlia hybrida"	"VDTG43"
"PP36145"	"Verbena X hybrida"	"Doveremflabur 24"
"PP23480"	"Vitis vinifera"	"Sugrafortyone"
"PP22528"	"Hibiscus rosa-sinensis"	"DUP-DXLD"
"PP33096"	"Phalaenopsis hybrid"	"PHALHORDIN"
"PP28240"	"Petunia hybrida"	"PEHY0017"
"PP23382"	"Fragaria×ananassa"	"DrisStrawTwentyFive"
"PP24844"	"Impatiens hawkerii"	"DHAR353"
"PP28888"	"Buxus microphylla"	"SB 108"
"PP19284"	"Begonia×tuberhybrida"	"Innbellwhi"
"PP26150"	"Osteospermum ecklonis"	"Balostlueye"
"PP34965"	"Fragaria ananassa"	"SB_13_177-015"
"PP25503"	"Tsuga canadensis"	"MonKinn"
"PP19742"	"Phlox hybrida"	"Wespohopi"
"PP20654"	"Pelargonium grandiflorum"	"Regburg"
"PP34270"	"x Mangave hybrid"	"Frosted Jade"
"PP30823"	"Hydrangea macrophylla"	"H216907"
"PP21361"	"Dianthus caryophyllus"	"CFPC Chantilly"
"PP18744"	"Diascia×hybrida"	"CODI101"
"PP30483"	"Vanda spp. Jones ex R. Br."	"SPCDW1702"
"PP30348"	"Sedum hybrid"	"Plum Dazzled"
"PP20212"	"Chrysanthemum×morifolium"	"Yoelena"
"PP19351"	"Sutera cordata"	"DANCOP23"
"PP22595"	"Leucanthemum hybrid"	"Engelina"
"PP35129"	"Lagerstroemia indica"	"JBG 19020"
"PP19863"	"Calibrachoa sp."	"CAL SCARE08"
"PP22856"	"Rosa hybrida"	"WEKphorn"
"PP35148"	"Ipomoea batatas (L.) Lam."	"NCORNSCP-029SCBC"
"PP36141"	"Hydrangea macrophylla"	"HIISLA51"
"PP28387"	"Trifolium repens"	"TRIFPOT002"
"PP23817"	"Caladium×hortulanum"	"Bombshell"
"PP33294"	"Phalaenopsis hybrid"	"PHALIPZYL"
"PP18529"	"Impatiens hawkeri"	"Odycorinth"
"PP23475"	"Rosa hybrida"	"WEKmemolo"
"PP21824"	"Dianthus×hybrida"	"WP09 MAR05"
"PP27153"	"Schlumbergera truncata (Haworth) Moran hybr."	"PKMSchl03"
"PP31932"	"Rosa hybrida"	"WEKpumpahor"
"PP27270"	"Bidens triplinervia"	"Haflpare"
"PP19604"	"Malus Domestica"	"Alvina"
"PP25001"	"Lavandula stoechas spp. lusitanica"	"Wijs02"
"PP32149"	"Petunia x hybrida"	"Dopetpotupurp 19"
"PP26976"	"Rhododendron hybrida"	"LavJ2011"
"PP33730"	"Petunia X hybrida"	"Dopetsurage21"
"PP22043"	"Pelargonium×hortorum"	"Pacshorg"
"PP24623"	"Lilium hybrida"	"Tiny Glow"
"PP22519"	"Coreopsis spp."	"Pumpkin Pie"
"PP26684"	"Thuja plicata×standishii"	"BFC68"
"PP18138"	"Vaccinium sp. Hybrid"	"Rebel"
"PP22979"	"Ilex aquifolium"	"Heckenzwerg"
"PP27019"	"Sanvitalia procumbens"	"Duesanyest"
"PP26471"	"Scaevola aemula"	"BONSCA 1160"
"PP19971"	"Baptisia×bicolor"	"Starlite"
"PP20646"	"Cuphea llavea"	"Viepur"
"PP33240"	"Limonium gmelinii"	"STE10"
"PP20214"	"Polemonium"	"Heaven Scent"
"PP35892"	"Rosa hybrida"	"MEIPAPEY"
"PP23089"	"Penstemon schmidel"	"Hot Pink Riding Hood"
"PP33075"	"Phalaenopsis hybrid"	"PHALHINDEK"
"PP35791"	"Weigela florida"	"TMWG19-108"
"PP27213"	"Neoregelia carolinae×Neoregelia×hybrida"	"Casablanca"
"PP25280"	"Hosta hybrid"	"Sleeping Star"
"PP24931"	"Rosa hybrid"	"Poulpar072"
"PP27218"	"Nemesia foetens"	"Easter Bonnet"
"PP23671"	"Mandevilla boliviensis×Mandevilla Sanderi"	"Lanmichigan"
"PP27480"	"Phalaenopsis hybrida"	"Silidream"
"PP21649"	"Petunia×hybrida"	"BHTUN31501"
"PP27699"	"Anthurium andreanum L."	"ANTHDATAM"
"PP21733"	"Campanula portenschlagiana"	"CBO 1"
"PP25481"	"Phalaenopsis hybrida"	"Bravery"
"PP23404"	"Pelargonium interspecific"	"PEQZ0002"
"PP19718"	"Kalanchoe blossfeldiana"	"Megan"
"PP29435"	"Rosa hybrida"	"CHEwesic"
"PP25470"	"Loropetalum chinense var. rubrum"	"PIILC-II"
"PP36137"	"Cotinus coggygria"	"Mincolem04"
"PP19527"	"Prunus persica"	"Black Majesty"
"PP20964"	"Deutzia×hybrida"	"Kolmaspri"
"PP19492"	"Calibrachoa sp."	"USCALI411-7"
"PP35344"	"Coleus scutellarioides"	"UF20-93-9"
"PP25419"	"Caladium×hortulanum"	"Scarlet Flame"
"PP27501"	"Senecio cruentus"	"Sunseneslisbu"
"PP33429"	"Zamioculcas zamiifolia (hort. Lodd.) Engl."	"EDZAM1702"
"PP20073"	"Calibrachoa sp."	"SUNBELRIAPU"
"PP19065"	"Vitis vinifera"	"Sugrathirtyone"
"PP26448"	"Sedum hybrid"	"Lemonjade"
"PP20295"	"Prunus dulciss×Prunus persica"	"Alm-21"
"PP19665"	"Prunus maackii"	"Jefspur"
"PP22825"	"Aglaonema commutatum"	"UF-808-4"
"PP34251"	"Anthurium andraeanum L."	"ANTHGESSIM"
"PP17700"	"Aster tataricus"	"Blue Lake Blim"
"PP34722"	"Vitis vinifera"	"GENSEL 1"
"PP24610"	"Rubus idaeus L."	"DrisRaspFive"
"PP21476"	"Rhododendron hybrida"	"RLH1-4P19"
"PP21981"	"Wisteria sinensis"	"Angie"
"PP20098"	"Diascia barberae"	"Dala Ros08"
"PP28277"	"Mandevilla hybrida"	"Sunpapri"
"PP35202"	"Malus domestica X Malus robusta hybrid"	"G.66"
"PP30696"	"Caladium X hortulanum"	"Bold 'N Beautiful"
"PP35259"	"Vitex agnus-castus"	"Bailtexthree"
"PP22439"	"Verbena×hybrida"	"Suntapikopin"
"PP29035"	"Portulaca oleraea"	"PHSFR11-0"
"PP24897"	"Echinacea hybrid"	"Cantaloupe"
"PP21412"	"Malus domestica"	"PLMAS98"
