"patent_id"	"latin_name"	"plant_variety"
"PP33303"	"Helleborus niger X Helleborus x hybridus"	"COSEH 8100"
"PP25815"	"Hydrangea macrophylla"	"SMHMSV"
"PP32007"	"Phalaenopsis hybrid"	"PHALFRYBIJ"
"PP33277"	"Hosta hybrid"	"Party Streamers"
"PP32398"	"Rhododendron hybrid"	"Kurachiffon"
"PP17396"	"Agaricus bisporus Imbach"	"Broncoh"
"PP23049"	"Verbena tenera"	"Wesverevostar"
"PP28755"	"Fragaria ananassa"	"BG-6.3016"
"PP23140"	"Anthurium andreanum L."	"Anthzupap"
"PP26933"	"Alstroemeria hybrida"	"Koncaband"
"PP19707"	"Nemesia hybrida"	"Wesnerasp"
"PP36110"	"Helleborus niger X Helleborus x hybridus"	"HL 1028"
"PP18581"	"Nemesia hybrida"	"KLENH05415"
"PP21806"	"Alstroemeria hybrida"	"Zapriari"
"PP18830"	"Argyranthemum×hybrida"	"Bonmadcher"
"PP19841"	"Astilbe arendsii ×Astilbe japonica"	"Verspink"
"PP25348"	"Actinidia chinensis"	"B52"
"PP35785"	"Clematis viticella"	"Evipo117"
"PP33932"	"Lysimachia congestiflora"	"Firefly"
"PP33081"	"Colocasia hybrid"	"Tea Party"
"PP21534"	"Pyrus communis L."	"Roksolana"
"PP15659"	"Prunus persica"	"P.F. 24-C cold hardy"
"PP19504"	"Euphorbia pulcherrima"	"Ice Punch"
"PP21872"	"Heuchera hybrid"	"Electric Lime"
"PP18267"	"Nemesia caerulea×Nemesia strumosa."	"Kirine-1."
"PP35736"	"Hibiscus hybrid (L.)"	"Cookies and Cream"
"PP24850"	"Rosa hybrid"	"Poulpah059"
"PP24174"	"Mandevilla hybrida"	"Grace"
"PP27626"	"Prunus persica var. nucipersica"	"Polar Magic"
"PP18063"	"Impatiens hawkeri"	"Ingmulvere"
"PP34091"	"Ilex verticillata"	"C-11-46-77-23"
"PP29519"	"Verbena hybrida"	"VEAZ0046"
"PP21572"	"Mahonia hybrid"	"Cabaret"
"PP34178"	"Prunus dulcis"	"PY2"
"PP25252"	"Chrysanthemum×morifolium"	"Fimmsungol"
"PP20002"	"Hemerocallis hybrida"	"Dynamite Returns"
"PP22863"	"Bidens ferulifolia"	"KLEBF10709"
"PP35883"	"Mandevilla sanderi"	"MAN222903"
